Circuit_link,Circuit,Map_link,Map,Type,Direction,Location_link,Location,Country_link,Country,Last length used,Turns,Grands Prix_link,Grands Prix,Season(s)_link,Season(s),Grands Prix held
https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,https://en.wikipedia.org/wiki/File:Adelaide_(long_route).svg,,Street circuit,Clockwise,https://en.wikipedia.org/wiki/Adelaide,Adelaide,https://en.wikipedia.org/wiki/Australia,Australia,3.780Â km (2.349Â mi),16,https://en.wikipedia.org/wiki/Australian_Grand_Prix,Australian Grand Prix,https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship,1985â€“1995,11
https://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain-Diab Circuit,https://en.wikipedia.org/wiki/File:Ain-Diab.svg,,Road circuit,Clockwise,https://en.wikipedia.org/wiki/Casablanca,Casablanca,https://en.wikipedia.org/wiki/Morocco,Morocco,7.618Â km (4.734Â mi),18,https://en.wikipedia.org/wiki/Moroccan_Grand_Prix,Moroccan Grand Prix,https://en.wikipedia.org/wiki/1958_Formula_One_season,1958,1
https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree Motor Racing Circuit,https://en.wikipedia.org/wiki/File:Circuit_Aintree.svg,,Road circuit,Clockwise,https://en.wikipedia.org/wiki/Aintree,Aintree,https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom,4.828Â km (3.000Â mi),12,https://en.wikipedia.org/wiki/British_Grand_Prix,British Grand Prix,https://en.wikipedia.org/wiki/1955_Formula_One_season,"1955, 1957, 1959, 1961â€“1962",5
https://en.wikipedia.org/wiki/Albert_Park_Circuit,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/File:Albert_Park_Circuit_2021.svg,,Street circuit,Clockwise,https://en.wikipedia.org/wiki/Melbourne,Melbourne,https://en.wikipedia.org/wiki/Australia,Australia,5.278Â km (3.280Â mi),16,https://en.wikipedia.org/wiki/Australian_Grand_Prix,Australian Grand Prix,https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship,"1996â€“2019, 2022â€“2025",28
https://en.wikipedia.org/wiki/Algarve_International_Circuit,Algarve International Circuit,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Portim%C3%A3o,PortimÃ£o,https://en.wikipedia.org/wiki/Portugal,Portugal,4.653Â km (2.891Â mi),15,https://en.wikipedia.org/wiki/Portuguese_Grand_Prix,Portuguese Grand Prix,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship,2020â€“2021,2
https://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,AutÃ³dromo do Estoril,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Estoril_1994-1999.png,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Estoril,Estoril,https://en.wikipedia.org/wiki/Portugal,Portugal,4.360Â km (2.709Â mi),13,https://en.wikipedia.org/wiki/Portuguese_Grand_Prix,Portuguese Grand Prix,https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship,1984â€“1996,13
https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,AutÃ³dromo Hermanos RodrÃ­guez,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Mexico_City,Mexico City,https://en.wikipedia.org/wiki/Mexico,Mexico,4.304Â km (2.674Â mi),17,https://en.wikipedia.org/wiki/Mexican_Grand_Prix,"Mexican Grand Prix,Mexico City Grand Prix",https://en.wikipedia.org/wiki/1963_Formula_One_season,"1963â€“1970, 1986â€“1992, 2015â€“2019, 2021â€“2024",24
https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,AutÃ³dromo Internacional do Rio de Janeiro,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png,,Race circuit,Anti-clockwise,https://en.wikipedia.org/wiki/Rio_de_Janeiro,Rio de Janeiro,https://en.wikipedia.org/wiki/Brazil,Brazil,5.031Â km (3.126Â mi),11,https://en.wikipedia.org/wiki/Brazilian_Grand_Prix,Brazilian Grand Prix,https://en.wikipedia.org/wiki/1978_Formula_One_season,"1978, 1981â€“1989",10
https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello,Autodromo Internazionale del Mugello,https://en.wikipedia.org/wiki/File:Mugello_Racing_Circuit_track_map_15_turns.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Scarperia_e_San_Piero,Scarperia e San Piero,https://en.wikipedia.org/wiki/Italy,Italy,5.245Â km (3.259Â mi),14,https://en.wikipedia.org/wiki/Tuscan_Grand_Prix,Tuscan Grand Prix,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship,2020,1
https://en.wikipedia.org/wiki/Imola_Circuit,Autodromo Internazionale Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/File:Imola_2009.svg,,Race circuit,Anti-clockwise,https://en.wikipedia.org/wiki/Imola,Imola,https://en.wikipedia.org/wiki/Italy,Italy,4.909Â km (3.050Â mi),17,https://en.wikipedia.org/wiki/Italian_Grand_Prix,"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix",https://en.wikipedia.org/wiki/1980_Formula_One_season,"1980â€“2006, 2020â€“2022, 2024â€“2025",32
https://en.wikipedia.org/wiki/Interlagos_circuit,AutÃ³dromo JosÃ© Carlos Pace,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_(AKA_Interlagos)_track_map.svg,,Race circuit,Anti-clockwise,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo,SÃ£o Paulo,https://en.wikipedia.org/wiki/Brazil,Brazil,4.309Â km (2.677Â mi),15,https://en.wikipedia.org/wiki/Brazilian_Grand_Prix,"Brazilian Grand Prix,SÃ£o Paulo Grand Prix",https://en.wikipedia.org/wiki/1973_Formula_One_season,"1973â€“1977, 1979â€“1980, 1990â€“2019, 2021â€“2024",41
https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/File:Monza_track_map.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Monza,Monza,https://en.wikipedia.org/wiki/Italy,Italy,5.793Â km (3.600Â mi),11,https://en.wikipedia.org/wiki/Italian_Grand_Prix,Italian Grand Prix,https://en.wikipedia.org/wiki/1950_Formula_One_season,"1950â€“1979, 1981â€“2024",74
https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez,AutÃ³dromo Oscar y Juan GÃ¡lvez,https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Buenos_Aires,Buenos Aires,https://en.wikipedia.org/wiki/Argentina,Argentina,4.259Â km (2.646Â mi),18,https://en.wikipedia.org/wiki/Argentine_Grand_Prix,Argentine Grand Prix,https://en.wikipedia.org/wiki/1953_Formula_One_season,"1953â€“1958, 1960, 1972â€“1975, 1977â€“1981, 1995â€“1998",20
https://en.wikipedia.org/wiki/AVUS,AVUS,https://en.wikipedia.org/wiki/File:Circuit_AVUS.svg,,Road circuit,Anti-clockwise,https://en.wikipedia.org/wiki/Berlin,Berlin,https://en.wikipedia.org/wiki/Germany,Germany,8.300Â km (5.157Â mi),4,https://en.wikipedia.org/wiki/German_Grand_Prix,German Grand Prix,https://en.wikipedia.org/wiki/1959_Formula_One_season,1959,1
https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,https://en.wikipedia.org/wiki/File:Bahrain_International_Circuit--Grand_Prix_Layout.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Sakhir,Sakhir,https://en.wikipedia.org/wiki/Bahrain,Bahrain,5.412Â km (3.363Â mi),15,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix,"Bahrain Grand Prix,Sakhir Grand Prix",https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship,"2004â€“2010, 2012â€“2025[a]",22
https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,https://en.wikipedia.org/wiki/File:Baku_Formula_One_circuit_map.svg,,Street circuit,Anti-clockwise,https://en.wikipedia.org/wiki/Baku,Baku,https://en.wikipedia.org/wiki/Azerbaijan,Azerbaijan,6.003Â km (3.730Â mi),20,https://en.wikipedia.org/wiki/European_Grand_Prix,"European Grand Prix,Azerbaijan Grand Prix",https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship,"2016â€“2019, 2021â€“2024",8
https://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch Circuit,https://en.wikipedia.org/wiki/File:Brands_Hatch_1976-1987.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/West_Kingsdown,West Kingsdown,https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom,4.206Â km (2.613Â mi),11,https://en.wikipedia.org/wiki/British_Grand_Prix,"British Grand Prix,European Grand Prix",https://en.wikipedia.org/wiki/1964_Formula_One_season,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982â€“1986",14
https://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,https://en.wikipedia.org/wiki/File:Buddh_Circuit_1.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Greater_Noida,Greater Noida,https://en.wikipedia.org/wiki/India,India,5.141Â km (3.194Â mi),16,https://en.wikipedia.org/wiki/Indian_Grand_Prix,Indian Grand Prix,https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship,2011â€“2013,3
